,target
1091,14.017298901352508
1092,12.84220757803802
1093,11.853567567034384
1094,11.159900992801498
1095,11.999343635484058
1096,11.590006869232795
1099,15.637585339324598
1100,14.585183499754608
1101,13.268758920889203
1102,11.507581209844453
1103,11.242795122431682
1104,11.06490248157219
1105,11.828188657182775
1108,15.102214115468595
1109,12.454891740833517
1110,11.252612095978138
1111,10.466953063626297
1112,10.720664881512924
1113,9.305104948420606
1114,9.19634286233233
1126,17.6128723522671
1127,17.061947696275293
1128,16.315477808739228
1129,15.727578907253307
1130,15.383723686436008
1131,14.892393464335356
1132,14.476540972481022
1135,15.274300681611795
1136,15.146064910596273
1137,15.933211774224645
1138,15.84710732595224
1139,15.489712278656896
1140,15.253032348802686
1141,15.087037799726767
1144,6.703188113240863
1145,6.678342114654332
1146,6.68586094706836
1147,6.917705609835305
1148,6.902742737158593
1149,6.84587987526405
1150,6.829793737512425
1153,15.700444291188036
1154,9.427948631791715
1155,15.11896799873187
1156,14.114099928972108
1157,13.0014266240038
1158,12.362837049459822
1159,11.942360973716973
1162,15.638886258400197
1163,14.835719045217996
1164,13.60166861227503
1165,13.097757111086011
1166,12.527452998999555
1167,11.841012645057
1168,11.70276866316303
1171,16.443698673968598
1172,15.535909175680949
1173,15.044890548780122
1174,14.449538639090013
1175,13.442119532727393
1176,12.642409609305407
1177,11.601842524991945
1180,16.23836182329962
1181,16.030956993141558
1182,15.748148447523233
1183,15.456872628319017
1184,15.295251545368943
1185,14.864341741643235
1186,14.606884569853122
1189,14.680818263102367
1190,13.787452588908954
1191,13.357868607360125
1192,13.490132156561675
1193,12.895312201259102
1194,12.461311585055077
1195,12.237687584899426
1198,12.023363013444744
1199,11.887793899100926
1200,11.707891739297262
1201,11.452304593146762
1202,11.485934463105643
1203,11.516120355866748
1204,11.614479746099091
1225,11.493487771077753
1226,12.619846473759228
1227,12.575288620963217
1228,15.655241920161242
1229,14.938416355201095
1230,14.1742634414904
1231,13.532329009610665
1234,12.028314659787467
1235,12.408829799187439
1236,11.417801267870049
1237,11.675282381344585
1238,11.169688398396127
1239,11.076155431033648
1240,11.165733981956047
1243,13.491797772228352
1244,13.279490195563728
1245,12.160777117998874
1246,11.434358334763262
1247,10.329278027105538
1248,9.859274397859803
1249,9.955273225685358
1252,15.46854478892039
1253,15.238325355153192
1254,14.998610430422385
1255,14.310268383269934
1256,14.602007816765797
1257,14.28908530317827
1258,13.98781881525591
1261,11.706211689488873
1262,10.660548058839726
1263,12.358403098320307
1264,12.244514209071369
1265,13.335749075340393
1266,13.492262100494663
1267,13.650220734258914
1279,16.093395088336347
1280,14.456366578012776
1281,12.713441300860326
1282,12.54605656610816
1283,11.806035280537566
1284,11.990407312509369
1285,11.321934436672427
1288,15.709810069050805
1289,14.975322989079555
1290,13.705131916994397
1291,12.885513826533945
1292,12.073711995889989
1293,11.446732242235429
1294,14.382779840193436
1297,12.152698239763359
1298,11.660206891118916
1299,12.277644189381864
1300,11.66277548161722
1301,11.030703494879953
1302,14.965940486859957
1303,16.017417157508447
1306,12.63000615792138
1307,12.343030660572598
1308,11.747499439379297
1309,11.187666128163082
1310,10.781120612719405
1311,16.383670448452477
1312,15.416577329967376
1315,13.683309708346117
